Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
THE EYE OF HEAVEN, by Clive Cussler and Russell Blake, Putnam,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERT B PARKER'S BLIND SPOT, by Reed Farrel Coleman, Putnam,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MONOGRAM MURDERS, by Sophie Hannah, Morrow/HarperCollins,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERFIDIA, by James Ellroy, Knopf,9/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVE IN DEATH, by J D Robb, Putnam,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
RAGING HEAT, by Richard Castle, Kingswell,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CHILDREN ACT, by Ian McEwan, Nan A Talese/ Doubleday,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
WOLF IN WHITE VAN, by John Darnielle, Farrar Straus & Giroux,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE EYE OF HEAVEN, by Clive Cussler and Russell Blake, Putnam,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PAYING GUESTS, by Sarah Waters, Riverhead,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MONOGRAM MURDERS, by Sophie Hannah, Morrow/HarperCollins,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLEM OF HOLLYWOOD, by Jonathan Kellerman and Jesse Kellerman, Putnam,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,10/5/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
BONES NEVER LIE, by Kathy Reichs, Bantam,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PAYING GUESTS, by Sarah Waters, Riverhead,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CHILDREN ACT, by Ian McEwan, Nan A Talese/ Doubleday,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVE IN DEATH, by J D Robb, Putnam,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
TO DWELL IN DARKNESS, by Deborah Crombie, Morrow/HarperCollins,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
ADULTERY, by Paulo Coelho, Knopf,10/12/14,,,,,,,,,,,,,,,,,,,,,,,,,
BURN, by James Patterson and Michael Ledwidge, Little Brown,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CHILDREN ACT, by Ian McEwan, Nan A Talese/ Doubleday,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LOST KEY, by Catherine Coulter and JT Ellison, Putnam,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PAYING GUESTS, by Sarah Waters, Riverhead,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
BONES NEVER LIE, by Kathy Reichs, Bantam,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
